Chemical.ID,MO24,DP24,SM24,NC24,MORT,YSE_,AXIS,EYE_,SNOU,JAW_,OTIC,PE__,BRAI,SOMI,PFIN,CFIN,PIG_,CIRC,TRUN,SWIM,NC__,TR__,DNC_,any.24h.MO24-,any.24h.MO24+,any.5d.MORT-,any.5d.MORT+,any.MO-,any.MO+
C01171,59.8 uM,25 uM,NA,NA,25 uM,25 uM,33.4 uM,33.4 uM,33.4 uM,33.4 uM,NA,33.4 uM,NA,NA,25 uM,NA,NA,NA,NA,NA,NA,33.4 uM,NA,25 uM,25 uM,33.4 uM,25 uM,25 uM,25 uM
C05081,NA,33.4 uM,NA,NA,NA,33.4 uM,33.4 uM,59.8 uM,NA,NA,NA,33.4 uM,NA,NA,33.4 uM,NA,NA,NA,NA,NA,NA,NA,NA,33.4 uM,NA,33.4 uM,59.8 uM,33.4 uM,59.8 uM
C07569,25 uM,33.4 uM,NA,NA,80 uM,44.7 uM,44.7 uM,44.7 uM,44.7 uM,33.4 uM,NA,44.7 uM,80 uM,80 uM,44.7 uM,80 uM,NA,NA,NA,NA,NA,44.7 uM,NA,33.4 uM,25 uM,25 uM,25 uM,33.4 uM,25 uM
C08880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C10132,33.4 uM,25 uM,NA,NA,25 uM,5 uM,25 uM,25 uM,25 uM,25 uM,NA,5 uM,NA,NA,5 uM,5 uM,NA,NA,NA,NA,NA,5 uM,NA,25 uM,25 uM,5 uM,5 uM,5 uM,5 uM
C10589,NA,44.7 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,NA,NA,80 uM,44.7 uM,44.7 uM
C13497,25 uM,NA,NA,NA,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM,NA,NA,5 uM,NA,NA,5 uM,NA,NA,25 uM,5 uM,5 uM,NA,5 uM
C13638,59.8 uM,NA,NA,NA,59.8 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,NA,59.8 uM,NA,59.8 uM
C13702,NA,33.4 uM,NA,NA,NA,33.4 uM,33.4 uM,33.4 uM,NA,NA,NA,33.4 uM,NA,NA,33.4 uM,59.8 uM,80 uM,NA,NA,NA,NA,NA,NA,33.4 uM,33.4 uM,33.4 uM,33.4 uM,33.4 uM,33.4 uM
C14993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15998,25 uM,25 uM,NA,NA,25 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,NA,25 uM,25 uM,25 uM
C16631,33.4 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C16708,59.8 uM,25 uM,NA,NA,25 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,NA,25 uM,25 uM,25 uM
C17978,NA,NA,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,25 uM,NA,NA,25 uM,NA,NA,NA,NA,NA,NA,25 uM,NA,NA,NA,25 uM,25 uM,25 uM,25 uM
C18632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23855,NA,25 uM,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,25 uM,25 uM,25 uM,25 uM,25 uM,NA,NA,NA,NA,NA,25 uM,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM
C24703,NA,NA,NA,NA,44.7 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,NA,44.7 uM
C26428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5 uM,NA,0.5 uM
C29091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29395,33.4 uM,25 uM,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,25 uM,25 uM,33.4 uM,25 uM,25 uM,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM
C29494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,NA
C34993,25 uM,25 uM,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,25 uM,NA,NA,25 uM,25 uM,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM
C35108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C40915,NA,25 uM,NA,NA,33.4 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,25 uM,25 uM,25 uM,25 uM,25 uM,NA,NA,25 uM,NA,NA,59.8 uM,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM
C42471,NA,NA,NA,NA,NA,NA,NA,NA,0.5 uM,0.5 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C43221,NA,NA,NA,NA,59.8 uM,80 uM,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,44.7 uM,44.7 uM,44.7 uM
C45712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,NA,44.7 uM
C47329,25 uM,5 uM,NA,NA,5 uM,1 uM,1 uM,1 uM,1 uM,5 uM,NA,5 uM,NA,NA,5 uM,NA,NA,NA,NA,NA,NA,5 uM,NA,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM
C48008,0.1 uM,NA,NA,NA,0.1 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1 uM,NA,0.1 uM,NA,0.1 uM
C49082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C49374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,NA,NA,NA,NA
C49873,NA,44.7 uM,NA,NA,NA,25 uM,25 uM,5 uM,5 uM,5 uM,NA,25 uM,NA,NA,25 uM,NA,80 uM,NA,80 uM,NA,NA,5 uM,NA,44.7 uM,44.7 uM,25 uM,25 uM,25 uM,25 uM
C55524,0.150 uM,0.150 uM,NA,NA,NA,0.150 uM,0.150 uM,0.150 uM,0.150 uM,0.150 uM,NA,0.150 uM,NA,NA,0.150 uM,0.150 uM,NA,NA,NA,NA,NA,NA,NA,0.150 uM,0.150 uM,0.150 uM,0.0150 uM,0.150 uM,0.150 uM
C57798,44.7 uM,25 uM,NA,NA,33.4 uM,33.4 uM,33.4 uM,33.4 uM,33.4 uM,33.4 uM,NA,33.4 uM,NA,NA,NA,33.4 uM,NA,NA,NA,NA,NA,33.4 uM,NA,25 uM,33.4 uM,33.4 uM,33.4 uM,25 uM,25 uM
C57924,NA,NA,NA,NA,80 uM,59.8 uM,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,33.4 uM,59.8 uM,33.4 uM
C61587,NA,59.8 uM,NA,NA,NA,44.7 uM,33.4 uM,59.8 uM,NA,59.8 uM,NA,NA,NA,NA,59.8 uM,33.4 uM,NA,NA,NA,NA,NA,NA,NA,59.8 uM,44.7 uM,33.4 uM,44.7 uM,33.4 uM,44.7 uM
C62119,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,80 uM,NA,80 uM,80 uM,25 uM,80 uM
C62238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C62889,NA,33.4 uM,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4 uM,80 uM,NA,NA,NA,NA
C63690,25 uM,25 uM,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,25 uM,NA,5 uM,25 uM,25 uM,25 uM,33.4 uM,NA,NA,25 uM,NA,NA,NA,NA,25 uM,25 uM,5 uM,25 uM,25 uM,25 uM
C64380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C64688,59.8 uM,25 uM,NA,NA,25 uM,5 uM,NA,NA,NA,NA,NA,5 uM,NA,NA,5 uM,5 uM,NA,NA,5 uM,NA,NA,NA,NA,25 uM,25 uM,5 uM,25 uM,5 uM,25 uM
C72267,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,NA,44.7 uM,44.7 uM,44.7 uM,44.7 uM
C73039,33.4 uM,25 uM,NA,NA,25 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,NA,25 uM,25 uM,25 uM
C73150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7 uM,NA,NA,NA,NA,NA,NA,NA
C74782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C75221,NA,59.8 uM,NA,NA,NA,NA,59.8 uM,NA,NA,NA,NA,NA,59.8 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,59.8 uM,NA,NA,59.8 uM,NA
C76051,59.8 uM,33.4 uM,NA,NA,25 uM,33.4 uM,80 uM,80 uM,80 uM,80 uM,NA,33.4 uM,80 uM,80 uM,44.7 uM,80 uM,NA,NA,NA,NA,NA,80 uM,NA,33.4 uM,33.4 uM,33.4 uM,25 uM,33.4 uM,25 uM
C76461,NA,80 uM,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,80 uM,80 uM,NA,80 uM,80 uM,80 uM
C77742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00138 uM,NA,NA
C81313,NA,59.8 uM,NA,NA,59.8 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,59.8 uM,NA,59.8 uM,59.8 uM,59.8 uM
C81905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C85807,NA,25 uM,NA,NA,25 uM,25 uM,25 uM,25 uM,25 uM,0.5 uM,NA,0.5 uM,NA,NA,25 uM,25 uM,NA,NA,NA,NA,NA,25 uM,NA,25 uM,25 uM,0.5 uM,25 uM,25 uM,25 uM
C85940,NA,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,80 uM,80 uM,80 uM
C93901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C94304,25 uM,5 uM,NA,NA,25 uM,NA,5 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 uM,5 uM,5 uM,5 uM,5 uM,5 uM
C97291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C98689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8 uM,NA,NA,NA,59.8 uM
C99762,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 uM,80 uM,80 uM,80 uM
MRG00201-E4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 uM,25 uM,25 uM,25 uM
MRG00215-A10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
